about;около
broad;широкий
nearest;ближайший
directly;непосредственно
quietly;тихо
chapter;глава
nest;гнездо
discover;обнаружить
raise;повышение
chart;диаграмма
newspaper;газета
divide;делить
range;ассортимент
chinese;китайский
nobody;никто
double;двойной
rate;ставка
clearly;явно
observe;наблюдать
dr.;д-р
regular;регулярный
climate;климат
pacific;миролюбивый
dress;платье
related;связанный
clock;часы
peace;мир
drink;напиток
replied;ответил
closely;тесно
plate;пластина
drove;поехали
represent;представлять
clothing;одежда
plenty;много
dust;пыли
rise;подъем
coffee;кофе
popular;популярный
easier;полегче
scientific;научный
cow;корова
powerful;мощный
effect;эффект
season;время года
cry;плакать
push;от себя
electricity;электричество
seat;сиденье
dad;папа
railroad;железная дорога
empty;пустой
share;доля
dangerous;опасно
rapidly;быстро
entire;все
shot;выстрел
deer;олень
root;корень
everybody;все
shoulder;плечо
desk;стол письменный
rubber;ластик
exciting;захватывающе
slow;медленный
detail;подробно
sad;грустный
expect;ожидать
smile;улыбка
development;развитие
sail;паруса
experience;опыт
solid;твердый
drew;дрю
save;спасти
express;экспресс
solution;решение
driver;водитель
score;гол
fair;справедливая
sort;сортировать
event;мероприятие
seeing;видя
feed;корм
southern;южный
everywhere;везде
serious;серьезный
final;окончательный
stage;сцена
fat;жир
service;оказание услуг
finish;конец
statement;заявление
favorite;любимый
sheet;лист
flew;полетела
station;станция
fence;забор
shop;магазин
fruit;фрукты
steam;стим
fifty;50
silent;бесшумный
further;в дальнейшем
stream;поток
flight;рейс
smell;запах
future;будущее
strength;прочность
flow;течь
smoke;дым
greek;греческий
supply;поставка
flower;цветок
smooth;гладкий; плавный
guide;руководство
surprise;сюрприз
forget;забывать
source;источник
gun;пистолет
symbol;символ
fourth;четвертый
spell;орфографии
herself;сама
till;до
friendly;дружелюбный
storm;буря
hungry;голодный
tomorrow;завтра
generally;в общем
structure;состав
instrument;инструмент
tube;трубка
german;немецкий
supper;ужин
jane;джейн
twelve;двенадцать
germany;германия
support;поддержка
join;присоединиться
twenty;20
giant;гигант
sweet;милая
jump;прыгать
usual;обычный
golden;золотой
swim;плавать
laid;проложенный
valley;долина
grain;зерно
telephone;телефон
liquid;жидкость
variety;разнообразие
handle;ручка
texas;техас
loud;громкий
vowel;гласная буква
height;высота
threw;бросил
market;рынок
we're;мы
hung;висела
throw;бросать
member;член
wet;влажный
hurry;торопиться
tone;тон
mexico;мексика
wooden;деревянный
immediately;немедленно
tool;инструмент
mike;майк
worth;стоимость
industry;промышленность
track;трек
mine;мой
airplane;самолет
instance;пример
trail;след
motion;движение
angle;угол
italy;италия
understanding;понимание
myself;себя
ann;анна
james;джеймс
upper;верхний
neck;шея
apple;яблоко
knife;нож
view;посмотреть
news;новости
art;изобразительное искусство
lake;озеро
wagon;вагон
nice;хороший
atlantic;атлантика
latin;латинский
western;вестерн
noise;шум
atmosphere;атмосфера
leader;лидер
whatever;без разницы
noun;имя существительное
bar;бар
leaving;уход
wheat;пшеница
oxygen;кислород
barn;сарай
likely;вероятно
whenever;всякий раз, когда
paid;оплаченный
baseball;бейсбол
lunch;обед
whom;кого
phrase;фраза
beauty;красота
mass;масса
win;выиграть
plain;гладкий
believed;считается,
master;мастер
wonderful;замечательно
poem;стих
bell;колокол
mile;мили
wore;носил
population;население
belong;принадлежать
mix;смешивание
ability;способность
agree;дать согласие
japanese;японский
sunlight;солнечный лучик
gradually;постепенно
ants;муравьи
kill;убийство
swimming;плавание
hadn't;не имел
asia;азия
laugh;смех
taste;вкус
harder;сильнее
asleep;спящий
library;библиотека
taught;учил
hide;скрывать
attack;атака
lift;лифт
thank;спасибо
hurried;поспешный
balance;баланс
lion;лев
they're;они
identity;идентичность
bat;летучая мышь
local;местный
tip;наконечник
importance;важность
battle;боевой
lose;потерять
title;заглавие
impossible;невозможно
ben;бен
lovely;прекрасный
tongue;язык
india;индия
block;блок
lying;лежащий
valuable;ценный
invented;изобрел
bow;лук
magic;магия
vast;огромный
italian;итальянский
brain;головной мозг
mama;мама
vegetable;овощной
jar;яс
brave;храбрый
manner;манера
wash;мыть
journey;поездка
bridge;мост
mark;отметка
weak;слабый
joy;радость
cave;пещера
may;май
you've;вы имеете
lesson;урок
charge;заряд
mostly;в основном
activity;мероприятия
lincoln;линкольн
chemical;химическая
national;национальный
alaska;аляска
lips;губы
china;китай
neighbor;сосед
appearance;появление
log;журнал
clay;глина
ordinary;обычный
aren't;не
london;лондон
climb;восхождение
parallel;параллельно
article;статья
loose;свободный
composition;состав
park;парк
aunt;тетка
massage;массаж
congress;конгресс
particularly;в частности
automobile;автомобиль
minerals;полезные ископаемые
copper;медь
pencil;карандаш
avoid;избежать
outer;внешний
crew;экипаж
perfect;идеально
basket;корзина
paint;покрасить
cup;кружка
planet;планета
birthday;день рождения
papa;папа
daughter;дочь
planned;планируемый
cage;клетка
paris;париж
design;дизайн
pleasant;приятный
cake;кекс
particles;частицы
determine;определить
pocket;карман
canada;канада
personal;личный
direct;непосредственный
police;полиция
central;центральный
physical;физическое
discuss;обсуждать
political;политическая
character;персонаж
pie;пирог
division;деление
post;после
charles;чарльз
pipe;труба
drawn;вничью
potatoes;картофель
chicken;курица
pole;столб
earlier;ранее
price;цена
chosen;выбранный
pond;пруд
eaten;съеденный
printed;печатные
club;клуб
progress;прогресс
education;образование
program;программа
cook;готовить
quarter;четверть
enemy;враг
property;имущество
court;суд
rays;лучи
enter;войти
prove;доказывать
cream;крем
recent;недавний
equipment;оборудование
remain;оставаться
cutting;резка
recognize;признать
escape;побег
riding;верховая езда
daily;ежедневно
replace;замещать
european;европейская
roll;рулон
darkness;темнота
rhythm;ритм
excited;в восторге
roman;римский
diagram;диаграмма
richard;ричард
expression;выражение
roof;крыша
dick;дик
robert;роберт
extra;дополнительный
rough;грубый
disappear;исчезать
rod;стержень
factory;завод
scene;место действия
doubt;сомнение
ruler;линейка
feathers;перья
search;поиск
dozen;дюжина
safety;безопасность
fellow;человек
secret;секрет
dream;мечта
sally;салли
fighting;борьба
series;серии
driving;вождение
sang;спели
fought;дрался
serve;обслуживать
effort;усилие
setting;установка
frank;фрэнк
settlers;поселенцы
establish;установить
shells;ракушки
freedom;свобода
shinning;сверкающих
exact;точный
sick;больной
funny;веселая
shut;закрыть
excitement;волнение
situation;ситуация
fur;мех
signal;сигнал
fifteen;15
slightly;немного
growth;рост
sir;сэр
flag;флаг
spain;испания
hall;зал
skill;умение
flies;летит
spirit;дух
he'd;он
smallest;наименьшее
football;футбол
steady;неуклонный
health;здоровье
social;социальное
foreign;иностранные
stepped;ступенчатый
highest;наибольший
softly;мягко
frame;рамка
strike;забастовка
hunt;охота
st.;святой
frequently;часто
successful;успешный
including;в том числе
struck;пораженный
frighten;стращать
sudden;внезапно
increase;увеличение
studying;изучение
function;функция
sum;сумма
indicate;указывать
success;успех
gate;ворота
terrible;ужасный
individual;индивидуальный
suit;костюм
gently;осторожно
tie;галстук
traffic;трафик
grandfather;дед
spoken;разговорный
evidence;доказательства
unusual;необычный
greatly;значительно
standard;стандарт
examine;исследовать
volume;объем
haven't;не
straw;солома
excellent;отлично
whale;кит
helpful;полезный
strip;полоса
failed;не смогли
wise;мудрый
hidden;скрытый
substance;вещество
fallen;падший
yesterday;вчера
honor;честь
suggest;предлагать
fastened;закреплены
account;счет
husband;муж
sunday;воскресенье
feature;особенность
allow;позволять
involved;участвует
teach;учат
fed;кормили
anywhere;в любом месте
japan;япония
tears;слезы
gain;усиление
attached;приложенный
jet;реактивный самолет
thirty;30
graph;график
audience;аудитория
jimmy;джимми
thomas;томас
hearing;слух
available;доступный
layers;слои
thread;нить
highway;шоссе
balloon;воздушный шар
leaf;лист
throat;горло
improve;улучшать
bare;голый
leather;кожа
tight;в обтяжку
influence;влияние
bark;лай
load;нагрузка
tin;банка
july;июль
begun;начатый
lonely;одинокий
triangle;треугольник
june;июнь
bent;изогнутый
louis;луис
truth;правда
lack;отсутствие
biggest;самый большой
march;март
union;союз
lamp;лампа
bill;законопроект
meal;еда
warn;предупреждать
locate;разместить
blank;пустой
medicine;лекарственное средство
whispered;шепнула
luck;везение
blew;дул
merely;просто
wool;шерсть
mail;почта
breathing;дыхание
mice;мышей
you'd;вы бы
married;в браке
butter;масло
molecular;молекулярная
aid;помощь
mighty;могущественный
cap;кепка
musical;музыкальный
aloud;вслух
mirror;зеркало
carbon;углерод
native;родной
andy;энди
mississippi;миссисипи
card;карта
negro;негр
anyway;так или иначе
motor;двигатель
chain;цепь
noon;полдень
arrow;стрела
mouse;мышь
cheese;сыр
occur;происходить
aside;в стороне
needle;игла
chest;грудь
orange;оранжевый
atomic;атомное
nodded;кивал
chicago;чикаго
ought;должен
author;автор
numeral;цифра
choice;выбор
pack;пак
basis;основа
offer;предлагает
circus;цирк
partly;частично
bean;боб
oldest;самый старший
citizen;гражданин
pet;домашнее животное
becoming;становление
operation;операция
classroom;класс
pine;сосна
betsy;бетси
orbit;орбита
college;колледж
pink;розовый
bicycle;велосипед
organized;организованная
consist;состоять
pitch;подача
blanket;одеяло
outline;контур
continent;континент
pool;бассейн
brush;щетка
pain;боль
conversation;разговор
prepare;подготовить
buffalo;буйвол
pan;кастрюля
courage;мужество
press;нажмите
burn;жечь
pen;ручка
cowboy;ковбой
prevent;не допустить
burst;взрыв
piano;пианино
creature;существо
pure;чистый
bush;куст
pictured;на фото
date;дата
queen;королева
carlos;carlos
pig;свинья
depend;зависеть
rabbit;кролик
collect;собирать
pile;свая
differ;отличаться
ranch;ранчо
colony;колония
planning;планирование
discovery;открытие
realize;понимать
combination;сочетание
pony;пони
disease;болезнь
receive;получать
combine;скомбинировать
principal;главный
duck;утка
recently;в последнее время
comfortable;удобный
production;производство
due;в связи
rice;рис
complex;сложный
refer;обращаться
dutch;голландский
rising;поднимающийся
composed;состоящий
religious;религиозная
entirely;полностью
rocket;ракета
concerned;обеспокоенный
repeat;повторение
environment;окружающая среда
saturday;суббота
connected;связанный
research;исследование
exclaimed;восклицал
saved;сохранены
construction;строительство
respect;уважение
factor;фактор
shade;тень
couple;пара
review;обзор
fog;туман
shadow;тень
create;создайте
route;маршрут
forgot;забыл
shirt;рубашка
curious;любопытный
silk;шелк
forgotten;забытый
shoot;стрелять
dig;копать
slept;спала
frozen;замороженный
shorter;короче
dirt;грязь
spite;озлобленность
fuel;топливо
silence;тишина
distant;отдаленный
stretch;протяжение
furniture;мебель
slipped;проскользнул
dot;точка
stronger;сильнее
gather;собирать
smith;кузнец
edward;эдвард
stuck;застрял
gentle;нежный
snake;змея
elephant;слон
swing;свинг
globe;земной шар
somewhere;где-то
etc.;и т.п.
task;задача
tax;налог
gift;подарок
stranger;незнакомец
former;бывший
tea;чай
grade;класс
struggle;борьба
forty;сорок
tent;палатка
halfway;наполовину
surrounded;окруженный
fox;лиса
thee;тебя
hang;вешать
swam;плавали
fred;фред
theory;теория
he'll;ад
syllable;слог
frog;лягушка
thrown;выброшены
headed;двуглавый
tank;бак
fully;в полной мере
tonight;сегодня ночью
herd;пасти
tape;лента
goose;гусь
topic;тема
hollow;полый
thou;ты
gravity;сила тяжести
tower;башня
income;доход
tightly;плотно
greece;греция
transportation;транспорт
industrial;промышленные
tim;тим
guard;охрана
trick;трюк
introduced;введены
trace;след
gulf;залив
underline;подчеркивание
johnson;джонсон
tribe;племя
handsome;красивый
unknown;неизвестный
jones;джонс
trunk;хобот
harbor;гавань
upward;вверх
judge;судья
tv;тв
hay;сено
virginia;виргиния
loss;потеря
universe;вселенная
hello;здравствуйте
waste;отходы
lucky;везучий
visitor;посетитель
horn;рог
we've;мы в
machinery;машины
vote;голос
hospital;больница
wherever;где бы
mad;сумасшедший
weigh;взвешивать
ill;больной
willing;готовы
magnet;магнит
wilson;wilson
interior;интерьер
worry;беспокоиться
mars;марс
younger;моложе
jeff;джефф
worse;хуже
military;военные
zero;нуль
jungle;джунгли
youth;молодежь
mistake;ошибка
aboard;на борту
labor;труд, работа
accept;принимать
mood;настроение
accurate;точный
limited;ограниченное
accident;авария
nails;ногти
actual;фактический
location;место нахождения
active;активный
naturally;естественно
adventure;приключение
mainly;в основном
additional;дополнительный
negative;отрицательный
apartment;квартира
managed;удалось
adjective;имя прилагательное
obtain;получать
applied;прикладная
maria;мария
affect;аффект
origin;происхождения
appropriate;подходящее
mental;умственный
alice;алиса
owner;владелец
arrive;прибыть
mixture;смесь
alphabet;алфавит
passage;прохождение
atom;атом
movie;кино
announced;объявленный
percent;процент
bay;залив
nearer;ближе
anybody;кто-нибудь
perfectly;в совершенстве
behavior;поведение
nervous;нервное
april;апрель
pilot;пилот
bend;изгиб
noted;отметил
arrange;организовать
pleasure;удовольствие
bet;делать ставку
october;октября
australia;австралия
plural;множественное число
birth;рождение
officer;сотрудник
aware;знать
plus;плюс
brass;латунь
ohio;огайо
badly;плохо
poet;поэт
breathe;дышать
opinion;мнение
bee;пчела
porch;крыльцо
brief;краткое
opportunity;возможность
belt;ремень
pot;горшок
buried;похороненный
organization;организация
bite;укусить
powder;порошок
camera;камера
package;пакет
blind;слепой
previous;предыдущий
captured;захваченный
pale;бледный
bound;связанный
primitive;примитивный
chamber;камера
plastic;пластик
castle;замок
principle;принцип
command;команда
pole;полюс
characteristic;характеристика
prize;приз
crack;трещина
port;порт
columbus;колумбус
purple;пурпурный
daniel;даниил
pour;наливать
compass;компас
raw;сырье
david;дэвид
private;частный
consonant;согласный
reader;читатель
dawn;рассвет
properly;должным образом
curve;кривая
remove;удалить
declared;объявленный
protection;защита
definition;определение
salmon;лосось
diameter;диаметр
pupil;ученик
dish;блюдо
screen;экран
difficulty;трудность
rear;задний
don;дон
seldom;редко
dirty;грязный
refused;отказалась
driven;управляемый
select;выбрать
dull;скучный
roar;рев
dug;выкопанный
society;общество
duty;обязанность
rome;рим
earn;зарабатывать
somebody;кто-то
eager;нетерпеливый
russia;россия
eddy;эдди
specific;конкретный
eleven;11
russian;русский
eventually;в итоге
spider;паук
engineer;инженер
saddle;седло
explore;исследовать
sport;спорт
equally;в равной степени
settle;селиться
fairly;довольно
stairs;лестница
equator;экватор
shelf;полка
fewer;меньше
stared;смотрел
fierce;свирепый
shelter;укрытие
fifth;пятый
steep;крутой
firm;фирма
shine;блеск
florida;флорида
stomach;желудок
fix;фиксировать
sink;раковина
gasoline;бензин
stove;плита
flame;пламя
slabs;плиты
slave;рабыня
folks;люди
shout;окрик
somehow;как-то
fort;форт
silly;глупый
split;трещина
garage;гараж
simplest;самый простой
stems;стебли
grabbed;схватился
slight;незначительный
stock;акции
grandmother;бабушка
slip;слип
swept;прокатилась
habit;привычка
slope;скат
thy;твой
happily;счастливо
soap;мыло
tide;волна
harry;гарри
solar;солнечный
torn;порванный
heading;заголовок
species;вид
troops;войска
hunter;охотник
spin;вращение
tropical;тропический
illinois;иллинойс
stiff;жесткий
typical;типичный
image;образ
swung;размахнувшись
unhappy;несчастный
independent;независимый
tales;россказни
vertical;вертикальный
instant;мгновенное
thumb;большой палец
victory;победа
january;январь
tobacco;табак
voyage;путешествие
kids;дети
toy;игрушка
welcome;добро пожаловать
label;метка
trap;ловушка
weren't;не было
lee;подветренный
treated;обрабатывали
whistle;свисток
lungs;легкие
tune;мелодия
widely;широко
